train_variant,model,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
balanced_smote,ANN_MLP,0.990687720515935,0.3767912334925541,0.8719115734720416,0.5261918775750442,0.9897740000091704,0.8258272198460477,0.9937000534442767,0.3638007231820008,0.8442890442890443,0.5084936122420328,0.9898011365399646,0.7887281008649839
balanced_smote,DecisionTree,0.9732893747469489,0.16828757848085682,0.888816644993498,0.28299347893592797,0.9716397252174096,0.6555544966553342,0.9776703693773292,0.1323255480727898,0.8610722610722611,0.22939824877352047,0.963101480430329,0.5481126607296755
balanced_smote,Bayesian_GaussianNB,0.9358783041240095,0.05938686131386861,0.6612483745123537,0.10898569361838932,0.8428294325370969,0.23087302543841298,0.9524957757427764,0.050385585051164174,0.6335664335664336,0.09334752893498643,0.8383937357837865,0.1743114346182846
balanced_smote,LogisticRegression,0.9779011703009621,0.1667461452869178,0.6820546163849155,0.2679780303997956,0.8815898269327577,0.19388457448396842,0.9839613185800737,0.14045898852528688,0.6163170163170163,0.2287790949208272,0.865760841082659,0.13734006020133518
imbalanced,ANN_MLP,0.9979755914165076,0.9542600896860987,0.6918075422626788,0.8021108179419525,0.9924707645772011,0.8652149639509501,0.9985442282880377,0.9304123711340206,0.6731934731934732,0.781173924803895,0.9916489965780577,0.8327129436245618
imbalanced,DecisionTree,0.9850386565639039,0.27695238095238095,0.9453836150845254,0.4284030642309959,0.9731536292154108,0.8315098268066887,0.9853900982330999,0.19973864093285082,0.9263403263403264,0.32861986273050525,0.9632078277218765,0.7758892326719183
imbalanced,LogisticRegression,0.9764744442516436,0.16324723247232473,0.7191157347204161,0.26608925778900516,0.8942118084635429,0.20501636530173162,0.9797109690329106,0.11767169179229481,0.655011655011655,0.1995030173943912,0.8770525092115342,0.14333642112413575
imbalanced,Bayesian_GaussianNB,0.9799641390479495,0.15001913509376197,0.5097529258777633,0.2318154937906564,0.8679457157783339,0.16357105288859758,0.978863418382312,0.09057569296375266,0.4951048951048951,0.15313626532083635,0.8544156807592228,0.10496545731290852
