train_variant,model,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
balanced_smote,ANN_MLP,0.9785104208841845,0.20508697558836428,0.91222366710013,0.3348848311254326,0.9897740000091704,0.8258272198460477,0.9847009009949272,0.18780080542186425,0.8913752913752914,0.31023852020120074,0.9898011365399646,0.7887281008649839
balanced_smote,DecisionTree,0.938161065802919,0.08252231500143968,0.9317295188556567,0.15161614558535683,0.9716397252174096,0.6555544966553342,0.9413102665195899,0.05673552516729706,0.9090909090909091,0.10680542242913871,0.963101480430329,0.5481126607296755
balanced_smote,Bayesian_GaussianNB,0.5551660979042551,0.011124187161227699,0.842002600780234,0.021958270807369163,0.8428294325370969,0.23087302543841298,0.665336258072875,0.009168678044300148,0.8004662004662004,0.018129695427452183,0.8383937357837865,0.1743114346182846
balanced_smote,LogisticRegression,0.40415292960842153,0.009011900329922847,0.9128738621586476,0.01784760887804134,0.8815898269327577,0.19388457448396842,0.5995836025041433,0.008190355465890628,0.8554778554778555,0.016225369049776957,0.865760841082659,0.13734006020133518
imbalanced,ANN_MLP,0.9977480864518865,0.8125819134993447,0.8062418725617685,0.8093994778067886,0.9924707645772011,0.8652149639509501,0.9981969304630578,0.7606019151846786,0.7776223776223776,0.7690179806362379,0.9916489965780577,0.8327129436245618
imbalanced,DecisionTree,0.9805039813368809,0.22677850264057162,0.9492847854356307,0.36609829488465395,0.9731536292154108,0.8315098268066887,0.9802796017411678,0.15581068416119961,0.9300699300699301,0.26690748545053183,0.9632078277218765,0.7758892326719183
imbalanced,LogisticRegression,0.39414656718144486,0.008895258177134957,0.9161248374512354,0.017619437653576094,0.8942118084635429,0.20501636530173162,0.5875577405127411,0.008208900267276595,0.8834498834498834,0.01626665293228952,0.8770525092115342,0.14333642112413575
imbalanced,Bayesian_GaussianNB,0.9708600844467581,0.10767826880458871,0.5370611183355006,0.1793897274405473,0.8679457157783339,0.16357105288859758,0.9667835722730372,0.06050646551724138,0.5235431235431235,0.10847621347500604,0.8544156807592228,0.10496545731290852
