train_variant,model,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
balanced_smote,ANN_MLP,0.9870592091310467,0.2995147772386414,0.88296488946684,0.44729907773386035,0.9897740000091704,0.8258272198460477,0.9911340083747362,0.2856702619414484,0.8643356643356643,0.4294151708164447,0.9898011365399646,0.7887281008649839
balanced_smote,DecisionTree,0.9580234060192415,0.11556177002796512,0.9135240572171651,0.2051693925233645,0.9716397252174096,0.6555544966553342,0.9606239844237825,0.08075959046688475,0.8862470862470863,0.14802990188444168,0.963101480430329,0.5481126607296755
balanced_smote,Bayesian_GaussianNB,0.8826228623209362,0.03503861003861004,0.7080624187256177,0.06677294745232694,0.8428294325370969,0.23087302543841298,0.9125817184584295,0.02931457416830539,0.6741258741258741,0.05618588747280075,0.8383937357837865,0.1743114346182846
balanced_smote,LogisticRegression,0.9169336957988702,0.052883325882878855,0.7691807542262679,0.09896269031286599,0.8815898269327577,0.19388457448396842,0.9633123934938341,0.07093466296627311,0.703030303030303,0.12886686036574946,0.865760841082659,0.13734006020133518
imbalanced,ANN_MLP,0.9980719918252453,0.9172025723472669,0.7418725617685306,0.8202731847591661,0.9924707645772011,0.8652149639509501,0.9985784182293569,0.8927536231884058,0.717948717948718,0.7958656330749354,0.9916489965780577,0.8327129436245618
imbalanced,DecisionTree,0.9830258160294599,0.25224913494809686,0.9479843953185956,0.3984695271932222,0.9731536292154108,0.8315098268066887,0.9833369022833482,0.17953337537158814,0.9291375291375291,0.3009210327646082,0.9632078277218765,0.7758892326719183
imbalanced,LogisticRegression,0.9349721402818748,0.06813570784490532,0.7860858257477243,0.12540192926045016,0.8942118084635429,0.20501636530173162,0.9536096480415461,0.05982046411144634,0.7487179487179487,0.11078918322295805,0.8770525092115342,0.14333642112413575
imbalanced,Bayesian_GaussianNB,0.9764744442516436,0.1298069122180756,0.5201560468140443,0.2077652252954162,0.8679457157783339,0.16357105288859758,0.9749423719541711,0.07783830275229357,0.5062937062937063,0.1349319749021557,0.8544156807592228,0.10496545731290852
